AX,AY,AZ,CO2,Temp,Hum,Tim,File
0.035,-0.201,0.973,,,,,
0.035,-0.191,0.975,,,,,
0.018,-0.193,0.947,,,,,
0.012,-0.195,0.975,,,,,
0.021,-0.209,0.979,,,,,
0.039,-0.189,0.971,,,,,
0.033,-0.189,0.953,,,,,
0.01,-0.195,0.951,,,,,
0.018,-0.203,0.99,,,,,
0.029,-0.207,0.973,,,,,
0.033,-0.184,0.971,,,,,
0.016,-0.191,0.947,,,,,
0.012,-0.195,0.979,,,,,
0.027,-0.211,0.979,,,,,
0.029,-0.195,0.965,,,,,
0.029,-0.191,0.957,402,31.3,37.7,7033,2
0.014,-0.195,0.953,,,,,
0.02,-0.201,0.99,,,,,
0.035,-0.199,0.973,,,,,
0.037,-0.188,0.967,,,,,
0.018,-0.197,0.951,,,,,
0.018,-0.203,0.98,,,,,
0.027,-0.211,0.977,,,,,
0.037,-0.189,0.961,,,,,
0.027,-0.189,0.953,,,,,
0.01,-0.193,0.965,,,,,
0.025,-0.205,0.98,,,,,
0.035,-0.199,0.965,,,,,
0.029,-0.191,0.965,,,,,
0.018,-0.197,0.951,,,,,
0.021,-0.193,0.984,,,,,
0.025,-0.207,0.967,,,,,
0.035,-0.188,0.971,,,,,
0.027,-0.199,0.961,402,31.3,37.7,7209,2
0.016,-0.191,0.967,,,,,
0.023,-0.207,0.982,,,,,
0.037,-0.191,0.971,,,,,
0.031,-0.188,0.965,,,,,
0.012,-0.195,0.947,,,,,
